element,r_core,r_boundary,dominant_regime,frac_damage_before_nonreturn,frac_damage_only,frac_nonreturn_before_damage,frac_coupled,frac_no_transition,mean_first_damage,mean_first_nonreturn,mean_final_damage,mean_max_r,erc_rank,model_axis
Se,1.071825739281746,1.86010961359918,damage-before-nonreturn,0.4755555555555555,0.1155555555555555,0.0488888888888888,0.0177777777777777,0.3422222222222222,2.6434459459459463,2.577049180327869,6.592057207893731,2.84826079207542,19,19
Lr,0.2575413749666354,0.7680749269873915,damage-before-nonreturn,0.4711111111111111,0.0977777777777777,0.2577777777777778,0.04,0.1333333333333333,2.25548717948718,2.16242774566474,19.79919497369789,3.896416314608233,20,20
Rh,0.593108185350722,1.2188976961393907,damage-before-nonreturn,0.4666666666666667,0.0844444444444444,0.1733333333333333,0.0311111111111111,0.2444444444444444,2.423294117647059,2.368675496688742,11.698913463582464,3.265937839275568,21,21
Ba,0.6839259743146582,1.3114035116575091,damage-before-nonreturn,0.4444444444444444,0.0844444444444444,0.1911111111111111,0.0222222222222222,0.2577777777777778,2.481796407185629,2.4174324324324328,10.37176924452068,3.1602948304014453,22,22
Nb,0.6034442266901304,1.2067273853315583,damage-before-nonreturn,0.4355555555555555,0.0844444444444444,0.2133333333333333,0.0222222222222222,0.2444444444444444,2.433058823529412,2.362052980132451,11.535650368088984,3.253009435444798,23,23
K,1.029151627230818,1.7571648759029226,damage-before-nonreturn,0.4311111111111111,0.1022222222222222,0.0933333333333333,0.0311111111111111,0.3422222222222222,2.607635135135136,2.5428,6.902435594567804,2.874800715851518,24,24
I,1.4412894051891445,2.2746773751288365,no-transition,0.4311111111111111,0.0977777777777777,0.0133333333333333,0.0177777777777777,0.44,2.7254761904761904,2.683942307692308,4.543181924818463,2.6670955652341632,25,25
Li,1.42501273889131,2.5376031385797115,no-transition,0.4311111111111111,0.1333333333333333,0.0,0.0,0.4355555555555555,2.7260629921259847,2.7609278350515463,4.614561343960144,2.6736203312756657,26,26
Ir,0.6626333290848323,1.269722966298945,damage-before-nonreturn,0.4222222222222222,0.0888888888888888,0.2088888888888889,0.0266666666666666,0.2533333333333333,2.4717261904761907,2.3872972972972977,10.662337224760098,3.1835415261378164,27,27
Os,0.6395671053477963,1.2362360946872786,damage-before-nonreturn,0.4044444444444444,0.0844444444444444,0.2311111111111111,0.0311111111111111,0.2488888888888888,2.4572189349112423,2.377066666666667,10.990762953506168,3.209729828710872,28,28
In,0.7589805402592501,1.379724681163884,damage-before-nonreturn,0.4044444444444444,0.0844444444444444,0.2133333333333333,0.0222222222222222,0.2755555555555555,2.5197546012269942,2.436527777777778,9.434252503158648,3.0847520171980007,29,29
B,1.1633277891207596,1.873688731150417,damage-before-nonreturn,0.4044444444444444,0.0933333333333333,0.1066666666666666,0.0311111111111111,0.3644444444444444,2.6703496503496504,2.595081967213115,5.9870460837612045,2.795932661423781,30,30
As,0.8898437090050255,1.5410681174681538,damage-before-nonreturn,0.3911111111111111,0.0933333333333333,0.1911111111111111,0.0177777777777777,0.3066666666666666,2.570705128205128,2.4824444444444445,8.06835826076328,2.972803025938672,31,31
Br,1.626778355869405,2.7859233903269778,no-transition,0.3911111111111111,0.1466666666666666,0.0,0.0,0.4622222222222222,2.810578512396694,2.8182954545454546,3.815772035649565,2.599720860586308,32,32
Hg,0.7969019406817291,1.4179403494922207,damage-before-nonreturn,0.3911111111111111,0.08,0.2177777777777777,0.0266666666666666,0.2844444444444444,2.536583850931677,2.45972027972028,9.006471040401653,3.0499617571819,33,33
Bh,0.8006941184832189,1.4169331445271949,damage-before-nonreturn,0.3866666666666666,0.08,0.2222222222222222,0.0266666666666666,0.2844444444444444,2.5400621118012423,2.45951048951049,8.96522542309339,3.046595439304136,34,34
Be,1.5372421390240394,2.326924903345688,no-transition,0.3822222222222222,0.0977777777777777,0.0311111111111111,0.04,0.4488888888888889,2.7742741935483872,2.699705882352941,4.148445178577933,2.630726768135536,35,35
Ga,0.8705153862284883,1.4974186333120336,damage-before-nonreturn,0.3822222222222222,0.0844444444444444,0.2044444444444444,0.0266666666666666,0.3022222222222222,2.565605095541401,2.4765217391304346,8.251603850948937,2.987978373300563,36,36
Sg,0.8157795007074158,1.4239547288137826,damage-before-nonreturn,0.3733333333333333,0.08,0.2266666666666666,0.0355555555555555,0.2844444444444444,2.5562732919254656,2.466643356643357,8.803801801891623,3.0334000958643244,37,37
Lv,1.0125096922279233,1.6634475778662172,damage-before-nonreturn,0.3688888888888889,0.08,0.1733333333333333,0.0355555555555555,0.3422222222222222,2.594932432432433,2.524,7.02887087876421,2.8855570144967664,38,38
Kr,1.9023321360923544,2.8824376902862685,no-transition,0.36,0.12,0.0,0.0,0.52,2.866759259259259,2.825555555555556,2.9650149649112345,2.518655380558915,39,39
Zn,0.8366772030568937,1.4433714334617005,damage-before-nonreturn,0.36,0.0755555555555555,0.24,0.0311111111111111,0.2933333333333333,2.553207547169812,2.4711971830985915,8.586948462161242,3.015616049065585,40,40
Cs,0.8213938923894583,1.4212053046255104,damage-before-nonreturn,0.36,0.0755555555555555,0.2533333333333333,0.0222222222222222,0.2888888888888888,2.547875,2.465244755244755,8.744781831163202,3.028566059276032,41,41
Sb,0.8226261126167784,1.4179403494922207,damage-before-nonreturn,0.3511111111111111,0.0755555555555555,0.2577777777777778,0.0266666666666666,0.2888888888888888,2.5491875,2.4632167832167835,8.731903733486568,3.027510674641158,42,42
H,1.9856119055969264,2.8625672186690125,no-transition,0.3511111111111111,0.1022222222222222,0.0,0.0088888888888888,0.5377777777777778,2.8858653846153848,2.8225925925925925,2.749495059803916,2.497649606930909,43,43
At,1.103541639438116,1.7581042664146491,no-transition,0.3377777777777778,0.0933333333333333,0.1777777777777777,0.0355555555555555,0.3555555555555555,2.6439310344827587,2.5400000000000005,6.373417148151333,2.829448347318747,44,44
Mg,1.1069843541526867,1.755793966052383,no-transition,0.3377777777777778,0.0933333333333333,0.1822222222222222,0.0311111111111111,0.3555555555555555,2.6464827586206896,2.5390322580645166,6.350272317072201,2.8274507224060765,45,45
Pt,0.8146550930868293,1.40903538476164,damage-before-nonreturn,0.3333333333333333,0.08,0.2622222222222222,0.04,0.2844444444444444,2.5547826086956524,2.455594405594405,8.815689834725516,3.0343731585567983,46,46
Mc,0.9387215095384126,1.5578970801214749,damage-before-nonreturn,0.3333333333333333,0.0755555555555555,0.2222222222222222,0.0444444444444444,0.3244444444444444,2.570263157894737,2.499851851851852,7.629820090973189,2.9362502494145786,47,47
Md,0.2505250029399382,0.704077570968481,nonreturn-before-damage,0.3288888888888889,0.0933333333333333,0.3955555555555555,0.0488888888888888,0.1333333333333333,2.245692307692308,2.1179310344827584,20.058321452781804,3.9165833739862768,48,48
S,1.4550155332250634,2.159713275720889,no-transition,0.3288888888888889,0.08,0.12,0.0311111111111111,0.44,2.735714285714286,2.6543518518518514,4.484034532116844,2.6616755543118966,49,49
Ar,2.051797663226942,3.282805519184595,no-transition,0.3111111111111111,0.1466666666666666,0.0,0.0,0.5422222222222223,2.922912621359224,2.924142857142857,2.589366686491084,2.4819215914570747,50,50
Au,0.920266553891646,1.5122251684298316,no-transition,0.2977777777777777,0.0755555555555555,0.2755555555555555,0.0355555555555555,0.3155555555555555,2.5784415584415585,2.4867153284671533,7.7913702245365455,2.949755257297765,51,51
Fr,1.0733774340174551,1.6996228965786264,no-transition,0.2977777777777777,0.0933333333333333,0.2177777777777777,0.0488888888888888,0.3422222222222222,2.645202702702703,2.526771653543308,6.581129860896211,2.84732298488802,52,52
O,1.8281943454140903,3.4663242049803253,no-transition,0.2977777777777777,0.1955555555555555,0.0,0.0,0.5066666666666667,2.846396396396396,2.965970149253732,3.171481574740449,2.5386019198387344,53,53
Cl,1.8899663101570447,3.568111194856177,no-transition,0.28,0.2,0.0,0.0,0.52,2.85787037037037,2.9765079365079368,2.998447447128471,2.5218966121089523,54,54
C,1.469456303502642,2.1428178573061163,no-transition,0.2755555555555555,0.0755555555555555,0.1511111111111111,0.0533333333333333,0.4444444444444444,2.7365600000000003,2.646203703703704,4.422837929303075,2.656053914627225,55,55
Ca,0.8783017570979271,1.4563756570340711,nonreturn-before-damage,0.2711111111111111,0.0711111111111111,0.3111111111111111,0.0444444444444444,0.3022222222222222,2.573312101910828,2.476950354609929,8.177082756897391,2.981812321571205,56,56
Cr,0.7296667184512937,1.2806352889207169,nonreturn-before-damage,0.2666666666666666,0.08,0.3377777777777778,0.0533333333333333,0.2622222222222222,2.517650602409639,2.4021621621621625,9.785199847874308,3.1131396065660315,57,57
Mn,0.6346958015272409,1.1681296518750393,nonreturn-before-damage,0.2577777777777778,0.0755555555555555,0.3555555555555555,0.0622222222222222,0.2488888888888888,2.452426035502959,2.3480921052631576,11.062011189036427,3.215400436686057,58,58
Si,1.1323073130152603,1.746451617505021,no-transition,0.2533333333333333,0.0888888888888888,0.2355555555555555,0.0622222222222222,0.36,2.656944444444445,2.5355645161290323,6.183484866003094,2.8130171707068565,59,59
